Name,Market Cap In Usd,Currency,Market,Index,Isin Code,Turnover In Eur,Issuer Country,Industry,Supersector,Sector,Subsector,Average Training Hours Per Employee,Number Of Female Board Members,Number Of Board Members,Share Of Women In Total Workforce In %,Share Of Women In Management Bodies In %,Gender Pay Gap In %,Rate Of Employees With Disabilities In %,Board Gender Diversity (Female Board Members / Total Board Members) In %,Total Energy Consumption In Mwh,Rate Of Resignation In %,Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd,Roa,Roe,Roic
Galp Energia-nom,12309280000.0,EUR,Euronext Lisbon,PSI_20,PTGAL0AM0009,16908786.085,Portugal,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101000, Integrated Oil and Gas",,5.0,18.0,0.45,0.25,0.19,,0.278,,,,10.8,27.8,23.3
Greenvolt Energias RENOVAVEIS S.A.,1236920000.0,EUR,Euronext Lisbon,PSI_20,PTGNV0AM0001,2188055.085,Portugal,"65, Utilities","6510, Utilities","651010, Electricity","65101010, Alternative Electricity",,4.0,11.0,0.4,,,,0.364,2677468.531,,33.420915,0.5,1.2,0.7
Ibersol-sgps,317273190.0,EUR,Euronext Lisbon,PSI_20,PTIBS0AM0008,71778.74,Portugal,"40, Consumer Discretionary","4050, Travel and Leisure","405010, Travel and Leisure","40501040, Restaurants and Bars",,2.0,5.0,0.53,,,,0.4,,,31.717475,3.1,6.3,5.6
"J.martins,sgps",12059970000.0,EUR,Euronext Lisbon,PSI_20,PTJMT0AE0001,30041997.66,Portugal,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201010, Food Retailers and Wholesalers",55.88,4.0,11.0,0.76,0.669,0.022,0.018,0.364,2080793.331,,1766.3470120000002,6.0,27.3,17.1
Mota Engil,1405980000.0,EUR,Euronext Lisbon,PSI_20,PTMEN0AE0005,4903679.625,Portugal,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101010, Construction",11.1,7.0,15.0,0.14,0.01,,,0.467,1887065.399,,1403.5832,,,
"Nos, Sgps, SA",2000900000.0,EUR,Euronext Lisbon,PSI_20,PTZON0AM0006,2373187.562,Portugal,"15, Telecommunications","1510, Telecommunications","151020, Telecommunications Service Providers","15102015, Telecommunications Services",19.16,5.0,15.0,0.409,0.143,,0.01,0.333,212772.0,,0.1391,4.2,17.7,8.4
Ren,1570760000.0,EUR,Euronext Lisbon,PSI_20,PTREL0AM0008,2014785.58,Portugal,"65, Utilities","6510, Utilities","651010, Electricity","65101015, Conventional Electricity",52.0,5.0,14.0,0.253,0.29,0.017,,0.357,994269.962,,66.331761,,6.3,3.1
Semapa,1318240000.0,EUR,Euronext Lisbon,PSI_20,PTSEM0AM0004,477653.22,Portugal,"55, Basic Materials","5510, Basic Resources","551010, Industrial Materials","55101015, Paper",29.0,3.0,8.0,0.159,0.176,,,0.375,16167851.545,,,,20.1,14.0
Sonae,1932420000.0,EUR,Euronext Lisbon,PSI_20,PTSON0AM0001,2138812.327,Portugal,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201010, Food Retailers and Wholesalers",21.53,3.0,10.0,0.66,,0.011,0.007,0.3,806124.812,0.25,1172.878253,2.5,12.5,5.6
The Navigator COMP,3005630000.0,EUR,Euronext Lisbon,PSI_20,PTPTI0AM0006,1264309.58,Portugal,"55, Basic Materials","5510, Basic Resources","551010, Industrial Materials","55101015, Paper",41.0,3.0,13.0,0.171,,,,0.231,11434862.203,,831.3153140000001,8.2,21.4,17.4
Aib Group PLC,14150750000.0,EUR,Euronext Dublin,ISEQ,IE00BF0L3536,21487391.6792,Ireland,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",30.8,6.0,15.0,,0.37,0.189,,0.4,,,,1.5,15.1,
Bank Of IRELAND GROUP PLC,11243560000.0,EUR,Euronext Dublin,ISEQ,IE00BD1RP616,31868668.9018,Ireland,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",,4.0,11.0,,0.46,,,0.364,,,,1.0,13.3,
Cairn Homes PLC,1126710000.0,EUR,Euronext Dublin,ISEQ,IE00BWY4ZF18,1141385.882,Ireland,"40, Consumer Discretionary","4020, Consumer Products and Services","402020, Household Goods and Home Construction","40202010, Home Construction",,3.0,9.0,0.25,0.2,0.195,,0.333,,,,6.9,11.3,12.1
Corre Energy B.V.,65889530.00000001,EUR,Euronext Growth Dublin,ISEQ,NL0015000DY3,0.0,Netherlands,"60, Energy","6010, Energy","601020, Alternative Energy","60102020, Renewable Energy Equipment",,0.0,4.0,,,,,0.0,,,,,440.7,
Crh Plc,53500.0,EUR,Euronext Growth Dublin,ISEQ,IE0001827264,34949000.0,Ireland,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101030, Cement",,,,,,,,,,,,6.0,13.8,12.0
Dalata Hotel GROUP PLC,1004233520.0,EUR,Euronext Dublin,ISEQ,IE00BJMZDW83,3251911.785,Ireland,"40, Consumer Discretionary","4050, Travel and Leisure","405010, Travel and Leisure","40501025, Hotels and Motels",10.0,5.0,8.0,,0.45,0.07,,0.625,138650.944,,67.585801,4.1,6.9,6.5
Datalex Plc,68147230.0,EUR,Euronext Growth Dublin,ISEQ,IE0000527006,26037.0,Ireland,"10, Technology","1010, Technology","101010, Software and Computer Services","10101015, Software",,0.0,7.0,0.271,0.417,,,0.0,,,,,173.3,560.36
Donegal Investment GROUP PLC,26824900.0,EUR,Euronext Growth Dublin,ISEQ,IE000TIRQBE1,29719.0,Ireland,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102010, Farming, Fishing, Ranching and Plantations",,0.0,5.0,,,,,0.0,,,,0.2,0.9,1.1
Fbd Holdings PLC,581604920.0,EUR,Euronext Dublin,ISEQ,IE0003290289,107424.05,Ireland,"30, Financials","3030, Insurance","303020, Non-life Insurance","30302010, Full Line Insurance",,3.0,11.0,0.61,0.3,0.28,,0.273,,,82.1546,5.6,14.8,23.0
Fd Technologies PLC,447969410.0,EUR,Euronext Growth Dublin,ISEQ,GB0031477770,291102.0,United Kingdom,"10, Technology","1010, Technology","101010, Software and Computer Services","10101010, Computer Services",,2.0,7.0,0.3,,,,0.286,,,,1.3,5.6,3.0
Glanbia Plc,5018300000.0,EUR,Euronext Dublin,ISEQ,IE0000669501,5987491.495,Ireland,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products",,5.0,14.0,0.27,0.38,0.01,,0.357,,,,5.5,16.0,11.4
Glenveagh Properties PLC,790630490.0,EUR,Euronext Dublin,ISEQ,IE00BD6JX574,376156.434,Ireland,"40, Consumer Discretionary","4020, Consumer Products and Services","402020, Household Goods and Home Construction","40202010, Home Construction",19.0,2.0,7.0,0.3,,,,0.286,,,0.3852,4.8,6.9,8.9
Great Western MINING CORPORATION PLC,3796360.0,EUR,Euronext Growth Dublin,ISEQ,IE00B1FR8863,368890.0,Ireland,"55, Basic Materials","5510, Basic Resources","551020, Industrial Metals and Mining","55102000, General Mining",,1.0,6.0,,,,,0.167,,,,6.0,9.7,
Greencoat Renewables PLC,1044062130.0,EUR,Euronext Growth Dublin,ISEQ,IE00BF2NR112,1115327.127,Ireland,"65, Utilities","6510, Utilities","651010, Electricity","65101010, Alternative Electricity",,,,,,,,,,,,2.3,3.3,3.5
Irish Continental GROUP PLC,881840500.0,EUR,Euronext Dublin,ISEQ,IE00BLP58571,3624727.86,Ireland,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206030, Marine Transportation",,2.0,6.0,0.39,,,,0.333,1870890.386,,,7.6,22.7,14.6
Irish Residential PROPERTIES REIT PLC,565516400.0,EUR,Euronext Dublin,ISEQ,IE00BJ34P519,1660168.326,Ireland,"35, Real Estate","3510, Real Estate","351020, Real Estate Investment Trusts","35102040, Residential REITs",41.0,3.0,9.0,0.49,,,,0.333,,,,2.5,,4.4
Kenmare Resources PLC,383805790.0,EUR,Euronext Dublin,ISEQ,IE00BDC5DG00,10005.18,Ireland,"55, Basic Materials","5510, Basic Resources","551020, Industrial Metals and Mining","55102000, General Mining",44.5,3.0,9.0,0.16,0.18,,,0.333,435903.0,,366.86,7.7,11.7,12.8
Kerry Group PLC,14694310000.0,EUR,Euronext Dublin,ISEQ,IE0004906560,32720274.9115,Ireland,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products",7.0,6.0,14.0,0.326,0.24,,,0.429,3235078.0,,,4.5,11.4,9.1
Kingspan Group PLC,15872380000.0,EUR,Euronext Dublin,ISEQ,IE0004927939,25169002.55,Ireland,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101035, Building Materials: Other",,4.0,11.0,0.21,0.31,,,0.364,836500.0,,708.397887,6.7,17.8,13.7
Malin Corporation PLC,112683840.0,EUR,Euronext Growth Dublin,ISEQ,IE00BVGC3741,1629.8,Ireland,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103015, Pharmaceuticals",,2.0,6.0,,,,,0.333,,,,,,
Mincon Group PLC,111398770.0,EUR,Euronext Growth Dublin,ISEQ,IE00BD64C665,23400.0,Ireland,"50, Industrials","5020, Industrial Goods and Services","502040, Industrial Engineering","50204000, Machinery: Industrial",,2.0,8.0,,,,,0.25,,,,3.5,4.8,6.3
Origin Enterprises PLC,374074140.0,EUR,Euronext Growth Dublin,ISEQ,IE00B1WV4493,632910.88,Ireland,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102010, Farming, Fishing, Ranching and Plantations",,3.0,9.0,0.27,0.25,,,0.333,12314.0,,60767.00686400001,3.2,11.6,8.7
Ovoca Bio PLC,567905.7100000001,EUR,Euronext Growth Dublin,ISEQ,IE00B4XVDC01,,Ireland,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103010, Biotechnology",,2.0,4.0,,,,,0.5,,,,4.9,,
Permanent Tsb GROUP HOLDINGS PLC,922373170.0,EUR,Euronext Dublin,ISEQ,IE00BWB8X525,548804.68,Ireland,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",,,,,,,,,,,,7.1,11.8,9.8
Ryanair Holdings PLC,25067960000.0,EUR,Euronext Dublin,ISEQ,IE00BYTBXV33,36016980.86,Ireland,"40, Consumer Discretionary","4050, Travel and Leisure","405010, Travel and Leisure","40501010, Airlines",,5.0,13.0,0.42,,,,0.385,,,882.5472350000001,8.7,28.8,19.7
Smurfit Kappa GROUP PLC,11398710000.0,EUR,Euronext Dublin,ISEQ,IE00B1RR8406,34031383.7005,Ireland,"50, Industrials","5020, Industrial Goods and Services","502030, General Industrials","50203030, Containers and Packaging",,,,,,,,,,,,6.9,14.3,14.6
Uniphar Plc,756607700.0,EUR,Euronext Growth Dublin,ISEQ,IE00BJ5FQX74,105810.205,Ireland,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201015, Drug Retailers",,,,,,,,,,,,4.0,14.5,10.9
Aker Bp,16368534000.0,NOK,Oslo Børs,OBX,NO0010345853,16084259.0,Norway,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101010, Oil: Crude Producers",23.3,4.0,12.0,,,,,0.333,5084936.846,,2572.4275,15.8,10.8,32.9
Bw Lpg,1821820000.0,NOK,Oslo Børs,OBX,BMG173841013,3136004.9,Bermuda,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206030, Marine Transportation",10.6,3.0,5.0,0.4,0.17,,,0.6,4592559.23,0.12,,11.9,31.0,22.4
Dnb Bank ASA,29661814000.0,NOK,Oslo Børs,OBX,NO0010161896,16987184.0,Norway,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",,5.0,10.0,0.462,0.417,,,0.5,,,,1.2,15.3,
Equinor,82094103000.0,NOK,Oslo Børs,OBX,NO0010096985,30272743.0,Norway,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101000, Integrated Oil and Gas",,4.0,10.0,0.32,0.36,,,0.4,,,2061.02,14.9,23.2,38.5
Frontline Plc,5242965000.0,NOK,Oslo Børs,OBX,CY0200352116,16385905.0,Cyprus,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206030, Marine Transportation",,0.0,6.0,0.263,,,,0.0,,,,8.5,28.0,12.6
Golden Ocean GROUP,2636998000.0,NOK,Oslo Børs,OBX,BMG396372051,3527483.8,Bermuda,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206030, Marine Transportation",,0.0,5.0,0.342,,,,0.0,5967680.885,,622.17,3.5,5.8,5.6
Hafnia Limited,3754114000.0,NOK,Oslo Børs,OBX,BMG4233B1090,3890356.5,Bermuda,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206030, Marine Transportation",16.3,1.0,6.0,0.054,0.17,,,0.167,,,,12.7,37.4,22.6
Hoegh Autoliners ASA,1696968000.0,NOK,Oslo Børs,OBX,NO0011082075,3543368.0,Norway,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206030, Marine Transportation",,3.0,7.0,0.46,0.29,,,0.429,,0.079,776.2357,19.3,47.6,30.1
Kongsberg Gruppen,11926642000.0,NOK,Oslo Børs,OBX,NO0003043309,5625502.1,Norway,"50, Industrials","5020, Industrial Goods and Services","502030, General Industrials","50203000, Diversified Industrials",,4.0,8.0,0.216,0.21,0.08,,0.5,174434.0,0.053,18.82426,6.0,24.6,20.4
Mowi,8660834000.0,NOK,Oslo Børs,OBX,NO0003054108,8722074.0,Norway,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102010, Farming, Fishing, Ranching and Plantations",13.9,4.0,9.0,0.4,0.25,,0.016,0.444,910834.062,,225.6737,7.8,11.8,13.7
Mpc Container SHIPS,526071000.0,NOK,Oslo Børs,OBX,NO0010791353,5118380.1,Norway,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206030, Marine Transportation",,2.0,5.0,0.364,,,,0.4,5931381.967,,2637.81,25.8,44.1,44.8
Nel,719082000.0,NOK,Oslo Børs,OBX,NO0010081235,1409046.6,Norway,"60, Energy","6010, Energy","601020, Alternative Energy","60102020, Renewable Energy Equipment",7.2,3.0,7.0,0.205,0.111,0.15,,0.429,16729.0,,0.1440893999999999,,,
Nordic Semiconductor,1594684000.0,NOK,Oslo Børs,OBX,NO0003055501,1436012.5,Norway,"10, Technology","1010, Technology","101020, Technology Hardware and Equipment","10102010, Semiconductors",,4.0,10.0,0.171,0.2,,,0.4,5177.0,,28.36,0.4,1.3,0.6
Norsk Hydro,13214292000.0,NOK,Oslo Børs,OBX,NO0005052605,17755927.0,Norway,"55, Basic Materials","5510, Basic Resources","551020, Industrial Metals and Mining","55102035, Aluminum",,4.0,11.0,,,,,0.364,45700000.0,,10.66156,12.0,2.6,26.2
Norwegian Air SHUTTLE,1453816000.0,NOK,Oslo Børs,OBX,NO0010196140,2870447.2,Norway,"40, Consumer Discretionary","4050, Travel and Leisure","405010, Travel and Leisure","40501010, Airlines",,3.0,8.0,0.43,0.22,,,0.375,,,0.01092,5.2,34.8,11.3
Orkla,7199283000.0,NOK,Oslo Børs,OBX,NO0003733800,5100429.4,Norway,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products",12.4,5.0,11.0,0.465,0.402,,,0.455,1005000.0,,2.96387,5.1,12.1,9.7
Pgs,769041000.0,NOK,Oslo Børs,OBX,NO0010199151,1853008.0,Norway,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101030, Oil Equipment and Services",13.7,5.0,10.0,0.3,,,,0.5,1061000.0,,0.0,5.4,,11.9
Salmar,7840105000.0,NOK,Oslo Børs,OBX,NO0010310956,4453044.5,Norway,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102010, Farming, Fishing, Ranching and Plantations",,3.0,7.0,0.28,0.14,,,0.429,293889.124,,1.3039117,10.2,11.6,20.8
Storebrand,4024202000.0,NOK,Oslo Børs,OBX,NO0003053605,2803783.3,Norway,"30, Financials","3030, Insurance","303010, Life Insurance","30301010, Life Insurance",6.0,5.0,10.0,0.46,0.56,0.16,,0.5,,,0.0006734,3.4,11.4,53.6
Subsea 7,4940026000.0,NOK,Oslo Børs,OBX,LU0075646355,4725038.4,Luxembourg,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101030, Oil Equipment and Services",13.08,1.0,7.0,0.17,0.29,,,0.143,2173161.211,0.082,152.0874,1.4,1.2,2.9
Telenor,15498574000.0,NOK,Oslo Børs,OBX,NO0010063308,14213886.0,Norway,"15, Telecommunications","1510, Telecommunications","151020, Telecommunications Service Providers","15102015, Telecommunications Services",,5.0,10.0,0.38,,,,0.5,2791000.0,,0.00091,4.7,,
Tgs Asa,1566838000.0,NOK,Oslo Børs,OBX,NO0003078800,2237835.2,Norway,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101030, Oil Equipment and Services",21.6,2.0,5.0,0.545,0.29,,,0.4,,,0.07,4.1,1.7,9.0
Tomra Systems,3919734000.0,NOK,Oslo Børs,OBX,NO0012470089,4587812.8,Norway,"50, Industrials","5020, Industrial Goods and Services","502040, Industrial Engineering","50204000, Machinery: Industrial",,3.0,8.0,0.23,0.29,0.023,,0.375,2159283.0,,2.69087,5.1,11.1,10.5
Vår Energi ASA,8564465000.0,NOK,Oslo Børs,OBX,NO0011202772,7863171.6,Norway,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101015, Offshore Drilling and Other Services",,6.0,12.0,0.255,0.3,0.06,,0.5,980871.34,,735.2741,12.9,37.6,28.1
Yara International,7844109000.0,NOK,Oslo Børs,OBX,NO0010208051,13150775.0,Norway,"55, Basic Materials","5520, Chemicals","552010, Chemicals","55201015, Fertilizers",,,,,,,,,,,,1.5,0.7,3.4
A2a,5797260000.0,EUR,Euronext Milan,MIB,IT0001233417,15348591.3715,Italy,"65, Utilities","6510, Utilities","651010, Electricity","65101015, Conventional Electricity",24.0,5.0,12.0,0.19,0.25,,,0.417,,0.089,1060.3642220000002,2.3,8.8,7.2
Amplifon,7511400000.0,EUR,Euronext Milan,MIB,IT0004056880,16115093.94,Italy,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102015, Medical Supplies",29.8,5.0,9.0,0.733,0.274,,0.047,0.556,67190.887,,18.3291,4.7,14.5,10.1
Azimut,3703270000.0,EUR,Euronext Milan,MIB,IT0003261697,,Italy,"30, Financials","3020, Financial Services","302020, Investment Banking and Brokerage Services","30202010, Asset Managers and Custodians",5.0,7.0,16.0,0.46,0.16,,0.005,0.438,2855.28,,,,29.2,27.0
Banca Generali,4458690000.0,EUR,Euronext Milan,MIB,IT0001031084,5961923.43,Italy,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",59.0,4.0,8.0,0.49,0.37,,0.047,0.5,3159.447,,,2.0,28.6,
Generali Ass,37827710000.0,EUR,Euronext Milan,MIB,IT0000062072,,Italy,"30, Financials","3030, Insurance","303020, Non-life Insurance","30302010, Full Line Insurance",34.4,6.0,13.0,0.511,,0.145,,0.462,,,1.8511,0.8,13.4,13.3
Banca Mediolanum,8115950000.0,EUR,Euronext Milan,MIB,IT0004776628,9094819.26,Italy,"30, Financials","3020, Financial Services","302020, Investment Banking and Brokerage Services","30202000, Diversified Financial Services",34.39,6.0,13.0,0.495,,,,0.461,19118.515,,,,25.8,
Banco Bpm,10300890000.0,EUR,Euronext Milan,MIB,IT0005218380,65294407.82,Italy,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",55.0,6.0,15.0,0.461,0.26,,,0.4,158564.738,,,0.6,9.3,
Bper Banca,6689640000.0,EUR,Euronext Milan,MIB,IT0000066123,53576314.264,Italy,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",45.14,8.0,15.0,0.47,0.208,,,0.533,143635.115,0.011,,1.1,17.5,
Buzzi,6937880000.0,EUR,Euronext Milan,MIB,IT0001347308,,Italy,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101030, Cement",31.0,5.0,12.0,0.142,,,,0.417,29099189.946,,,5.9,16.1,10.8
Cnh Industrial,15714020000.0,EUR,Euronext Global Equity Market,MIB,NL0010545661,,Netherlands,"50, Industrials","5020, Industrial Goods and Services","502040, Industrial Engineering","50204010, Machinery: Agricultural",22.19,4.0,9.0,0.106,0.17,,0.018,0.444,1047778.616,,,4.3,31.3,8.2
Diasorin,5362840000.0,EUR,Euronext Milan,MIB,IT0003492391,,Italy,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102010, Medical Equipment",60.84,6.0,15.0,0.43,0.269,0.1,,0.4,59133.103,,,4.7,10.4,9.1
Enel,63877930000.0,EUR,Euronext Milan,MIB,IT0003128367,136799560.425,Italy,"65, Utilities","6510, Utilities","651010, Electricity","65101015, Conventional Electricity",47.4,4.0,9.0,0.234,0.249,0.193,0.033,0.444,,,0.0009,3.3,10.6,8.4
Eni,53524610000.0,EUR,Euronext Milan,MIB,IT0003132476,104868716.542,Italy,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101000, Integrated Oil and Gas",31.1,4.0,9.0,0.269,0.175,0.01,,0.444,143639003.8,0.027,2725.668138,4.4,8.8,11.2
Erg,3870190000.0,EUR,Euronext Milan,MIB,IT0001157020,10616424.48,Italy,"65, Utilities","6510, Utilities","651010, Electricity","65101010, Alternative Electricity",42.5,5.0,12.0,0.31,0.18,0.01,,0.417,22000.0,0.054,28.547600000000003,4.1,10.9,8.5
Finecobank,9116400000.0,EUR,Euronext Milan,MIB,IT0000072170,34547669.415,Italy,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",,,,,,,,,,,,1.8,29.7,
Hera,5100690000.0,EUR,Euronext Milan,MIB,IT0001250932,9303130.046,Italy,"65, Utilities","6510, Utilities","651020, Gas, Water and Multi-utilities","65102000, Multi-utilities",30.8,6.0,15.0,0.276,0.216,,0.035,0.4,3981392.074,0.024,1353.045067,2.0,11.3,8.0
Interpump Group,4790390000.0,EUR,Euronext Milan,MIB,IT0001078911,,Italy,"50, Industrials","5020, Industrial Goods and Services","502040, Industrial Engineering","50204000, Machinery: Industrial",10.0,5.0,10.0,0.192,0.113,,,0.5,231037.685,,,8.4,16.5,16.0
Intesa Sanpaolo,65524660000.0,EUR,Euronext Milan,MIB,IT0000072618,334011620.8755,Italy,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",51.4,8.0,19.0,0.537,0.005,,0.045,0.421,1000598.3,0.028,,0.8,12.4,
Inwit,10125410000.0,EUR,Euronext Milan,MIB,IT0005090300,,Italy,"15, Telecommunications","1510, Telecommunications","151020, Telecommunications Service Providers","15102015, Telecommunications Services",19.1,5.0,11.0,0.38,0.26,,,0.455,774287.008,,20.111506,2.3,5.1,3.6
Italgas,4366670000.0,EUR,Euronext Milan,MIB,IT0005211237,14211177.675,Italy,"65, Utilities","6510, Utilities","651020, Gas, Water and Multi-utilities","65102020, Gas Distribution",35.0,4.0,9.0,0.178,0.183,0.132,0.043,0.444,131111.216,0.021,28.653851,4.4,18.7,7.8
Iveco Group,3642280000.0,EUR,Euronext Milan,MIB,NL0015000LU4,,Netherlands,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206015, Commercial Vehicles and Parts",11.29,3.0,9.0,0.184,0.188,,0.053,0.333,847789.845,0.029,8678.277051000001,3.4,0.8,11.4
Leonardo,13411380000.0,EUR,Euronext Milan,MIB,IT0003856405,80210448.25,Italy,"50, Industrials","5020, Industrial Goods and Services","502010, Aerospace and Defense","50201020, Defense",24.1,5.0,12.0,0.196,0.16,0.02,0.032,0.417,1475278.958,0.044,464.8936000000001,2.5,8.5,8.5
Mediobanca,12349940000.0,EUR,Euronext Milan,MIB,IT0000062957,36720225.11,Italy,"30, Financials","3020, Financial Services","302020, Investment Banking and Brokerage Services","30202000, Diversified Financial Services",26.3,6.0,15.0,0.42,,0.261,,0.4,37727.558,,,1.2,10.5,
Moncler,19241810000.0,EUR,Euronext Milan,MIB,IT0004965148,39842407.96,Italy,"40, Consumer Discretionary","4020, Consumer Products and Services","402040, Personal Goods","40204020, Clothing and Accessories",27.07,5.0,12.0,0.688,0.51,,0.012,0.417,,0.134,19.532101,12.8,20.0,22.2
Nexi,7647290000.0,EUR,Euronext Milan,MIB,IT0005366767,31687424.46,Italy,"50, Industrials","5020, Industrial Goods and Services","502050, Industrial Support Services","50205015, Transaction Processing Services",19.6,5.0,13.0,0.42,0.223,0.193,0.017,0.385,65359.997,,,4.0,,7.1
Pirelli & C,6280900000.0,EUR,Euronext Milan,MIB,IT0005278236,,Italy,"40, Consumer Discretionary","4010, Automobiles and Parts","401010, Automobiles and Parts","40101015, Tires",177.6,6.0,15.0,0.156,0.137,,0.019,0.4,2825114.76,0.065,388.0569,3.8,9.0,7.9
Poste Italiane,16288610000.0,EUR,Euronext Milan,MIB,IT0003796171,20091812.405,Italy,"30, Financials","3030, Insurance","303010, Life Insurance","30301010, Life Insurance",48.0,4.0,9.0,0.531,0.46,0.007,0.043,0.444,1087570.315,0.055,3.856922,0.6,20.0,2.5
Prysmian,14860160000.0,EUR,Euronext Milan,MIB,IT0004176001,32770169.11,Italy,"50, Industrials","5020, Industrial Goods and Services","502020, Electronic and Electrical Equipment","50202010, Electrical Components",35.7,5.0,12.0,0.205,0.188,0.05,,0.417,2675308.807,,19548.450600000004,5.0,14.1,14.4
Recordati Ord,11130140000.0,EUR,Euronext Milan,MIB,IT0003828271,,Italy,"20, Health Care","2010, Health Care","201030, Pharmaceuticals and Biotechnology","20103015, Pharmaceuticals",27.8,5.0,12.0,0.48,,0.1,,0.417,172500.138,,,9.4,24.1,16.9
Snam,15283880000.0,EUR,Euronext Milan,MIB,IT0003153415,27229014.126,Italy,"60, Energy","6010, Energy","601010, Oil, Gas and Coal","60101035, Pipelines",33.7,4.0,9.0,0.165,0.197,0.08,,0.444,4900281.698,0.038,105.518692,3.3,15.5,6.4
Telecom Italia,3591990000.0,EUR,Euronext Milan,MIB,IT0003497168,33292500.825,Italy,"15, Telecommunications","1510, Telecommunications","151020, Telecommunications Service Providers","15102015, Telecommunications Services",53.75,6.0,15.0,0.38,0.28,,0.03,0.4,2671000.0,,133.6323,1.4,,2.7
Terna,15627350000.0,EUR,Euronext Milan,MIB,IT0003242622,28057808.69,Italy,"65, Utilities","6510, Utilities","651010, Electricity","65101015, Conventional Electricity",36.0,6.0,13.0,0.161,0.237,0.19,,0.461,257855.04,0.018,141.369684,4.0,14.1,8.1
Unipol,6241310000.0,EUR,Euronext Milan,MIB,IT0004810054,11482654.042,Italy,"30, Financials","3030, Insurance","303020, Non-life Insurance","30302010, Full Line Insurance",15.72,6.0,15.0,0.543,0.162,0.09,,0.4,147441.785,0.027,509.708945,1.9,14.5,15.2
