Name;Currency;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Market Cap in USD;Carbon footprint (total GHG emissions / enterprise value)_in_USD;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
Ibersol-SGPS;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTIBS0AM0008;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501040, Restaurants and Bars;;2.0;5.0;317273190.0;31.717475;0.53;;;;0.4;;
J.MARTINS,SGPS;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTJMT0AE0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;55.88;4.0;11.0;12059970000.0;1766.3470120000002;0.76;0.669;0.022;0.018;0.364;2080793.331;
MOTA ENGIL;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTMEN0AE0005;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;11.1;7.0;15.0;1405980000.0;1403.5832;0.14;0.01;;;0.467;1887065.399;
NOS, SGPS, SA;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTZON0AM0006;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;19.16;5.0;15.0;2000900000.0;0.1391;0.409;0.143;;0.01;0.333;212772.0;
REN;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTREL0AM0008;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;52.0;5.0;14.0;1570760000.0;66.331761;0.253;0.29;0.017;;0.357;994269.962;
SEMAPA;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTSEM0AM0004;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;29.0;3.0;8.0;1318240000.0;;0.159;0.176;;;0.375;16167851.545;
SONAE;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTSON0AM0001;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;21.53;3.0;10.0;1932420000.0;1172.878253;0.66;;0.011;0.007;0.3;806124.812;0.25
THE NAVIGATOR COMP;EUR;Stock;Ordinary Shares;Euronext Lisbon;PTPTI0AM0006;55, Basic Materials;5510, Basic Resources;551010, Industrial Materials;55101015, Paper;41.0;3.0;13.0;3005630000.0;831.3153140000001;0.171;;;;0.231;11434862.203;
AIB GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BF0L3536;30, Financials;3010, Banks;301010, Banks;30101010, Banks;30.8;6.0;15.0;14150750000.0;;;0.37;0.189;;0.4;;
BANK OF IRELAND GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BD1RP616;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;4.0;11.0;11243560000.0;;;0.46;;;0.364;;
CAIRN HOMES PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BWY4ZF18;40, Consumer Discretionary;4020, Consumer Products and Services;402020, Household Goods and Home Construction;40202010, Home Construction;;3.0;9.0;1126710000.0;;0.25;0.2;0.195;;0.333;;
CORRE ENERGY B.V.;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;NL0015000DY3;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment;;0.0;4.0;65889530.00000001;;;;;;0.0;;
CRH PLC;EUR;Stock;Preferred Shares;Euronext Growth Dublin;IE0001827264;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement;;;;53500.0;;;;;;;;
DALATA HOTEL GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BJMZDW83;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels;10.0;5.0;8.0;1004233520.0;67.585801;;0.45;0.07;;0.625;138650.944;
DATALEX PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;IE0000527006;10, Technology;1010, Technology;101010, Software and Computer Services;10101015, Software;;0.0;7.0;68147230.0;;0.271;0.417;;;0.0;;
DONEGAL INVESTMENT GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;IE000TIRQBE1;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;;0.0;5.0;26824900.0;;;;;;0.0;;
FBD HOLDINGS PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE0003290289;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;;3.0;11.0;581604920.0;82.1546;0.61;0.3;0.28;;0.273;;
FD TECHNOLOGIES PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;GB0031477770;10, Technology;1010, Technology;101010, Software and Computer Services;10101010, Computer Services;;2.0;7.0;447969410.0;;0.3;;;;0.286;;
GLANBIA PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE0000669501;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;;5.0;14.0;5018300000.0;;0.27;0.38;0.01;;0.357;;
GLENVEAGH PROPERTIES PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BD6JX574;40, Consumer Discretionary;4020, Consumer Products and Services;402020, Household Goods and Home Construction;40202010, Home Construction;19.0;2.0;7.0;790630490.0;0.3852;0.3;;;;0.286;;
GREAT WESTERN MINING CORPORATION PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B1FR8863;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102000, General Mining;;1.0;6.0;3796360.0;;;;;;0.167;;
GREENCOAT RENEWABLES PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BF2NR112;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;;;;1044062130.0000001;;;;;;;;
IRISH CONTINENTAL GROUP PLC;EUR;Stock;Units;Euronext Dublin;IE00BLP58571;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;2.0;6.0;881840500.0;;0.39;;;;0.333;1870890.386;
IRISH RESIDENTIAL PROPERTIES REIT PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BJ34P519;35, Real Estate;3510, Real Estate;351020, Real Estate Investment Trusts;35102040, Residential REITs;41.0;3.0;9.0;565516400.0;;0.49;;;;0.333;;
KENMARE RESOURCES PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BDC5DG00;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102000, General Mining;44.5;3.0;9.0;383805790.0;366.86;0.16;0.18;;;0.333;435903.0;
KERRY GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE0004906560;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;7.0;6.0;14.0;14694310000.0;;0.326;0.24;;;0.429;3235078.0;
KINGSPAN GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE0004927939;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101035, Building Materials: Other;;4.0;11.0;15872380000.0;708.397887;0.21;0.31;;;0.364;836500.0;
MALIN CORPORATION PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BVGC3741;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;;2.0;6.0;112683840.0;;;;;;0.333;;
MINCON GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BD64C665;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;;2.0;8.0;111398770.0;;;;;;0.25;;
ORIGIN ENTERPRISES PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B1WV4493;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;;3.0;9.0;374074140.0;60767.00686400001;0.27;0.25;;;0.333;12314.0;
OVOCA BIO PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;IE00B4XVDC01;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103010, Biotechnology;;2.0;4.0;567905.7100000001;;;;;;0.5;;
PERMANENT TSB GROUP HOLDINGS PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BWB8X525;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;;922373170.0;;;;;;;;
RYANAIR HOLDINGS PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00BYTBXV33;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines;;5.0;13.0;25067960000.0;882.5472350000001;0.42;;;;0.385;;
SMURFIT KAPPA GROUP PLC;EUR;Stock;Ordinary Shares;Euronext Dublin;IE00B1RR8406;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203030, Containers and Packaging;;;;11398710000.0;;;;;;;;
UNIPHAR PLC;EUR;Stock;Ordinary Shares;Euronext Growth Dublin;IE00BJ5FQX74;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201015, Drug Retailers;;;;756607700.0;;;;;;;;
AKER BP;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010345853;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101010, Oil: Crude Producers;23.3;4.0;12.0;16368534000.0;2572.4275;;;;;0.333;5084936.846;
BW LPG;NOK;Stock;Ordinary Shares;Oslo Børs;BMG173841013;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;10.6;3.0;5.0;1821820000.0;;0.4;0.17;;;0.6;4592559.23;0.12
DNB BANK ASA;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010161896;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;5.0;10.0;29661814000.0;;0.462;0.417;;;0.5;;
EQUINOR;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010096985;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;;4.0;10.0;82094103000.0;2061.02;0.32;0.36;;;0.4;;
FRONTLINE PLC;NOK;Stock;Ordinary Shares;Oslo Børs;CY0200352116;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;0.0;6.0;5242965000.0;;0.263;;;;0.0;;
GOLDEN OCEAN GROUP;NOK;Stock;Ordinary Shares;Oslo Børs;BMG396372051;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;0.0;5.0;2636998000.0;622.17;0.342;;;;0.0;5967680.885;
HAFNIA LIMITED;NOK;Stock;Ordinary Shares;Oslo Børs;BMG4233B1090;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;16.3;1.0;6.0;3754114000.0;;0.054;0.17;;;0.167;;
HOEGH AUTOLINERS ASA;NOK;Stock;Ordinary Shares;Oslo Børs;NO0011082075;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;3.0;7.0;1696968000.0;776.2357;0.46;0.29;;;0.429;;0.079
KONGSBERG GRUPPEN;NOK;Stock;Ordinary Shares;Oslo Børs;NO0003043309;50, Industrials;5020, Industrial Goods and Services;502030, General Industrials;50203000, Diversified Industrials;;4.0;8.0;11926642000.0;18.824260000000002;0.216;0.21;0.08;;0.5;174434.0;0.053
MOWI;NOK;Stock;Ordinary Shares;Oslo Børs;NO0003054108;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;13.9;4.0;9.0;8660834000.0;225.6737;0.4;0.25;;0.016;0.444;910834.062;
MPC CONTAINER SHIPS;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010791353;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206030, Marine Transportation;;2.0;5.0;526071000.0;2637.81;0.364;;;;0.4;5931381.967;
NEL;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010081235;60, Energy;6010, Energy;601020, Alternative Energy;60102020, Renewable Energy Equipment;7.2;3.0;7.0;719082000.0;0.14408939999999998;0.205;0.111;0.15;;0.429;16729.0;
NORDIC SEMICONDUCTOR;NOK;Stock;Ordinary Shares;Oslo Børs;NO0003055501;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;10.0;1594684000.0;28.36;0.171;0.2;;;0.4;5177.0;
NORSK HYDRO;NOK;Stock;Ordinary Shares;Oslo Børs;NO0005052605;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102035, Aluminum;;4.0;11.0;13214292000.0;10.66156;;;;;0.364;45700000.0;
NORWEGIAN AIR SHUTTLE;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010196140;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501010, Airlines;;3.0;8.0;1453816000.0;0.01092;0.43;0.22;;;0.375;;
ORKLA;NOK;Stock;Ordinary Shares;Oslo Børs;NO0003733800;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;12.4;5.0;11.0;7199283000.0;2.96387;0.465;0.402;;;0.455;1005000.0;
PGS;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010199151;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;13.7;5.0;10.0;769041000.0;0.0;0.3;;;;0.5;1061000.0;
SALMAR;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010310956;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102010, Farming, Fishing, Ranching and Plantations;;3.0;7.0;7840105000.0;1.3039117;0.28;0.14;;;0.429;293889.124;
STOREBRAND;NOK;Stock;Ordinary Shares;Oslo Børs;NO0003053605;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;6.0;5.0;10.0;4024202000.0;0.0006734;0.46;0.56;0.16;;0.5;;
SUBSEA 7;NOK;Stock;Ordinary Shares;Oslo Børs;LU0075646355;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;13.08;1.0;7.0;4940026000.0;152.0874;0.17;0.29;;;0.143;2173161.211;0.082
TELENOR;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010063308;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;;5.0;10.0;15498574000.0;0.00091;0.38;;;;0.5;2791000.0;
TGS ASA;NOK;Stock;Ordinary Shares;Oslo Børs;NO0003078800;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101030, Oil Equipment and Services;21.6;2.0;5.0;1566838000.0;0.07;0.545;0.29;;;0.4;;
TOMRA SYSTEMS;NOK;Stock;Ordinary Shares;Oslo Børs;NO0012470089;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;;3.0;8.0;3919734000.0;2.69087;0.23;0.29;0.023;;0.375;2159283.0;
VÅR ENERGI ASA;NOK;Stock;Ordinary Shares;Oslo Børs;NO0011202772;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101015, Offshore Drilling and Other Services;;6.0;12.0;8564465000.0;735.2741;0.255;0.3;0.06;;0.5;980871.34;
YARA INTERNATIONAL;NOK;Stock;Ordinary Shares;Oslo Børs;NO0010208051;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201015, Fertilizers;;;;7844109000.0;;;;;;;;
A2A;EUR;Stock;Ordinary Shares;Euronext Milan;IT0001233417;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;24.0;5.0;12.0;5797260000.0;1060.3642220000002;0.19;0.25;;;0.417;;0.089
AMPLIFON;EUR;Stock;Ordinary Shares;Euronext Milan;IT0004056880;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies;29.8;5.0;9.0;7511400000.0;18.3291;0.733;0.274;;0.047;0.556;67190.887;
AZIMUT;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003261697;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202010, Asset Managers and Custodians;5.0;7.0;16.0;3703270000.0;;0.46;0.16;;0.005;0.438;2855.28;
BANCA GENERALI;EUR;Stock;Ordinary Shares;Euronext Milan;IT0001031084;30, Financials;3010, Banks;301010, Banks;30101010, Banks;59.0;4.0;8.0;4458690000.0;;0.49;0.37;;0.047;0.5;3159.447;
BANCA MEDIOLANUM;EUR;Stock;Ordinary Shares;Euronext Milan;IT0004776628;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;34.39;6.0;13.0;8115950000.0;;0.495;;;;0.461;19118.515;
BANCO BPM;EUR;Stock;Ordinary Shares;Euronext Milan;IT0005218380;30, Financials;3010, Banks;301010, Banks;30101010, Banks;55.0;6.0;15.0;10300890000.0;;0.461;0.26;;;0.4;158564.738;
BPER BANCA;EUR;Stock;Ordinary Shares;Euronext Milan;IT0000066123;30, Financials;3010, Banks;301010, Banks;30101010, Banks;45.14;8.0;15.0;6689640000.0;;0.47;0.208;;;0.533;143635.115;0.011
BUZZI;EUR;Stock;Ordinary Shares;Euronext Milan;IT0001347308;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101030, Cement;31.0;5.0;12.0;6937880000.0;;0.142;;;;0.417;29099189.946;
CNH INDUSTRIAL;EUR;Stock;Ordinary Shares;Euronext Global Equity Market;NL0010545661;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204010, Machinery: Agricultural;22.19;4.0;9.0;15714020000.0;;0.106;0.17;;0.018;0.444;1047778.616;
DIASORIN;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003492391;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102010, Medical Equipment;60.84;6.0;15.0;5362840000.0;;0.43;0.269;0.1;;0.4;59133.103;
ENEL;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003128367;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;47.4;4.0;9.0;63877930000.0;0.0009;0.234;0.249;0.193;0.033;0.444;;
ENI;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003132476;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101000, Integrated Oil and Gas;31.1;4.0;9.0;53524610000.0;2725.668138;0.269;0.175;0.01;;0.444;143639003.8;0.027
ERG;EUR;Stock;Ordinary Shares;Euronext Milan;IT0001157020;65, Utilities;6510, Utilities;651010, Electricity;65101010, Alternative Electricity;42.5;5.0;12.0;3870190000.0;28.547600000000003;0.31;0.18;0.01;;0.417;22000.0;0.054
FINECOBANK;EUR;Stock;Ordinary Shares;Euronext Milan;IT0000072170;30, Financials;3010, Banks;301010, Banks;30101010, Banks;;;;9116400000.0;;;;;;;;
GENERALI ASS;EUR;Stock;Ordinary Shares;Euronext Milan;IT0000062072;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;34.4;6.0;13.0;37827710000.0;1.8511000000000002;0.511;;0.145;;0.462;;
HERA;EUR;Stock;Ordinary Shares;Euronext Milan;IT0001250932;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities;30.8;6.0;15.0;5100690000.0;1353.045067;0.276;0.216;;0.035;0.4;3981392.074;0.024
INTERPUMP GROUP;EUR;Stock;Ordinary Shares;Euronext Milan;IT0001078911;50, Industrials;5020, Industrial Goods and Services;502040, Industrial Engineering;50204000, Machinery: Industrial;10.0;5.0;10.0;4790390000.0;;0.192;0.113;;;0.5;231037.685;
INTESA SANPAOLO;EUR;Stock;Ordinary Shares;Euronext Milan;IT0000072618;30, Financials;3010, Banks;301010, Banks;30101010, Banks;51.4;8.0;19.0;65524660000.0;;0.537;0.005;;0.045;0.421;1000598.3;0.028
INWIT;EUR;Stock;Ordinary Shares;Euronext Milan;IT0005090300;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;19.1;5.0;11.0;10125410000.0;20.111506000000002;0.38;0.26;;;0.455;774287.008;
ITALGAS;EUR;Stock;Ordinary Shares;Euronext Milan;IT0005211237;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102020, Gas Distribution;35.0;4.0;9.0;4366670000.0;28.653851;0.178;0.183;0.132;0.043;0.444;131111.216;0.021
IVECO GROUP;EUR;Stock;Ordinary Shares;Euronext Milan;NL0015000LU4;50, Industrials;5020, Industrial Goods and Services;502060, Industrial Transportation;50206015, Commercial Vehicles and Parts;11.29;3.0;9.0;3642280000.0;8678.277051000001;0.184;0.188;;0.053;0.333;847789.845;0.029
LEONARDO;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003856405;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201020, Defense;24.1;5.0;12.0;13411380000.0;464.89360000000005;0.196;0.16;0.02;0.032;0.417;1475278.958;0.044
MEDIOBANCA;EUR;Stock;Ordinary Shares;Euronext Milan;IT0000062957;30, Financials;3020, Financial Services;302020, Investment Banking and Brokerage Services;30202000, Diversified Financial Services;26.3;6.0;15.0;12349940000.0;;0.42;;0.261;;0.4;37727.558;
MONCLER;EUR;Stock;Ordinary Shares;Euronext Milan;IT0004965148;40, Consumer Discretionary;4020, Consumer Products and Services;402040, Personal Goods;40204020, Clothing and Accessories;27.07;5.0;12.0;19241810000.0;19.532101;0.688;0.51;;0.012;0.417;;0.134
NEXI;EUR;Stock;Ordinary Shares;Euronext Milan;IT0005366767;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;19.6;5.0;13.0;7647290000.0;;0.42;0.223;0.193;0.017;0.385;65359.997;
PIRELLI & C;EUR;Stock;Ordinary Shares;Euronext Milan;IT0005278236;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101015, Tires;177.6;6.0;15.0;6280900000.0;388.05690000000004;0.156;0.137;;0.019;0.4;2825114.76;0.065
POSTE ITALIANE;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003796171;30, Financials;3030, Insurance;303010, Life Insurance;30301010, Life Insurance;48.0;4.0;9.0;16288610000.0;3.8569220000000004;0.531;0.46;0.007;0.043;0.444;1087570.315;0.055
PRYSMIAN;EUR;Stock;Ordinary Shares;Euronext Milan;IT0004176001;50, Industrials;5020, Industrial Goods and Services;502020, Electronic and Electrical Equipment;50202010, Electrical Components;35.7;5.0;12.0;14860160000.0;19548.450600000004;0.205;0.188;0.05;;0.417;2675308.807;
RECORDATI ORD;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003828271;20, Health Care;2010, Health Care;201030, Pharmaceuticals and Biotechnology;20103015, Pharmaceuticals;27.8;5.0;12.0;11130140000.0;;0.48;;0.1;;0.417;172500.138;
SNAM;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003153415;60, Energy;6010, Energy;601010, Oil, Gas and Coal;60101035, Pipelines;33.7;4.0;9.0;15283880000.0;105.518692;0.165;0.197;0.08;;0.444;4900281.698;0.038
STELLANTIS;EUR;Stock;Ordinary Shares;Euronext Milan;NL00150001Q9;40, Consumer Discretionary;4010, Automobiles and Parts;401010, Automobiles and Parts;40101020, Automobiles;;3.0;11.0;82467040000.0;6858.244394;;;;;0.273;15494891.0;
STMICROELECTRONICS;EUR;Stock;Ordinary Shares;Euronext Milan;NL0000226223;10, Technology;1010, Technology;101020, Technology Hardware and Equipment;10102010, Semiconductors;;4.0;9.0;36633590000.0;27.9849;;;;;0.444;2878880.081;
TELECOM ITALIA;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003497168;15, Telecommunications;1510, Telecommunications;151020, Telecommunications Service Providers;15102015, Telecommunications Services;53.75;6.0;15.0;3591990000.0;133.63230000000001;0.38;0.28;;0.03;0.4;2671000.0;
TERNA;EUR;Stock;Ordinary Shares;Euronext Milan;IT0003242622;65, Utilities;6510, Utilities;651010, Electricity;65101015, Conventional Electricity;36.0;6.0;13.0;15627350000.0;141.369684;0.161;0.237;0.19;;0.461;257855.04;0.018
UNIPOL;EUR;Stock;Ordinary Shares;Euronext Milan;IT0004810054;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;15.72;6.0;15.0;6241310000.0;509.708945;0.543;0.162;0.09;;0.4;147441.785;0.027
